title,description,organization,category,prerequisites,url,platform,format,project,difficulty,duration
Introduction to SQL and Relational Databases,Combined course covering SQL fundamentals and relational database theory including entity-relationship modeling normalization and practical database design principles,Universitat Politècnica de València,sql,database,https://www.edx.org/learn/sql/universitat-politecnica-de-valencia-introduction-to-sql-and-relational-databases,edx,course,0,2,30
Exploring GraphQL A Query Language for APIs,Introduction to GraphQL concepts including schema design query language resolvers and implementation patterns for building efficient and flexible APIs,Linux Foundation,graphql,javascript,https://www.edx.org/learn/graphql/the-linux-foundation-exploring-graphql-a-query-language-for-apis,edx,course,0,3,15
Scripting with Python and SQL for Data Engineering,"Advanced Python programming combined with SQL for data processing pipelines ETL operations and automated data workflows in enterprise environments",Pragmatic AI Labs,"python,sql",python,https://www.edx.org/learn/data-engineering/pragmatic-ai-labs-scripting-with-python-and-sql-for-data-engineering,edx,course,1,3,25
Open Source LLMOps,Large language model operations covering deployment monitoring scaling and maintenance of AI systems in production environments with open source tools,Pragmatic AI Labs,ci_cd,python,https://www.edx.org/learn/computer-science/pragmatic-ai-labs-open-source-llmops-2,edx,course,1,4,30
Python Programming Object-Oriented Design,Advanced Python programming focusing on object-oriented principles design patterns inheritance polymorphism and building maintainable scalable applications,Codio,python,python,https://www.edx.org/learn/python/codio-python-programming-object-oriented-design,edx,course,1,3,35
UX UI Design Fundamentals,Comprehensive user experience and interface design principles covering user research wireframing prototyping usability testing and design thinking methodologies,Institute of Product Leadership,ui_ux,,https://www.edx.org/learn/design/institute-of-product-leadership-ipl-ux-ui-design-fundamentals,edx,course,1,2,25
UX Design,Professional user experience design course covering user research personas journey mapping information architecture and creating user-centered digital experiences,HEC Montréal,ui_ux,,https://www.edx.org/learn/ux-design/hec-montreal-ux-design,edx,course,1,2,30
Introduction to User Experience,Foundational UX design concepts including user psychology interface design principles accessibility guidelines and basic usability evaluation methods,HEC Montréal,ui_ux,,https://www.edx.org/learn/user-experience-ux/hec-montreal-introduction-to-user-experience,edx,course,0,1,20
UX Prototyping,Hands-on prototyping techniques using industry-standard tools for creating interactive mockups wireframes and testing user interface concepts before development,HEC Montréal,ui_ux,ui_ux,https://www.edx.org/learn/design/hec-montreal-ux-prototyping,edx,course,1,2,25
UX Evaluation User Testing,Advanced UX evaluation methods including usability testing A/B testing analytics interpretation and iterative design improvement based on user feedback,HEC Montréal,ui_ux,ui_ux,https://www.edx.org/learn/user-experience-ux/hec-montreal-ux-evaluation-user-testing,edx,course,1,3,20
Agile and Scrum Fundamentals,Comprehensive Agile methodology training covering Scrum framework sprint planning daily standups retrospectives and implementing Agile practices in software development teams,IBM,agile,,https://www.edx.org/learn/agile/ibm-agile-and-scrum-fundamentals,edx,course,0,2,15
Fundamentals of Digital Transformation,Strategic approach to digital transformation covering technology adoption change management digital business models and organizational transformation in the digital economy,Dartmouth College,product,,https://www.edx.org/learn/data-analysis-statistics/dartmouth-college-fundamentals-of-digital-transformation,edx,course,0,2,25
Cybersecurity Compliance and System Administration,Advanced cybersecurity covering compliance frameworks security policies system hardening and administrative controls for enterprise security management,IBM,security,security,https://www.edx.org/learn/cybersecurity/ibm-cybersecurity-compliance-and-system-administration,edx,course,0,3,30
Cybersecurity Essentials,Essential cybersecurity concepts covering threat landscape risk assessment security controls incident response and developing organizational security awareness,University System of Maryland,security,computer,https://www.edx.org/learn/computer-science/university-system-of-maryland-cybersecurity-essentials,edx,course,0,2,35
Cybersecurity Capstone and Case Studies,Advanced cybersecurity case studies covering real-world scenarios threat analysis incident investigation and comprehensive security project implementation,IBM,security,security,https://www.edx.org/learn/cybersecurity/ibm-cybersecurity-capstone-and-case-studies,edx,course,1,4,40
HTML5 and CSS Fundamentals,Modern HTML5 and CSS development covering semantic markup responsive design CSS Grid Flexbox and contemporary web standards for professional web development,W3C,html,computer,https://www.edx.org/learn/css/the-world-wide-web-consortium-w3c-html5-and-css-fundamentals,edx,course,0,1,25
CSS Basics,Fundamental CSS styling techniques covering selectors properties layout models typography color theory and creating visually appealing web interfaces,W3C,css,html,https://www.edx.org/learn/css/the-world-wide-web-consortium-w3c-css-basics,edx,course,0,1,15
HTML5 Coding Essentials and Best Practices,Advanced HTML5 development techniques covering accessibility semantic web progressive enhancement and industry best practices for maintainable markup,W3C,html,html,https://www.edx.org/learn/html5/the-world-wide-web-consortium-w3c-html5-coding-essentials-and-best-practices,edx,course,0,2,20
JavaScript Introduction,Fundamentals of JavaScript programming covering variables functions objects arrays DOM manipulation and basic programming logic for interactive web development,W3C,javascript,html,https://www.edx.org/learn/javascript/the-world-wide-web-consortium-w3c-javascript-introduction,edx,course,0,1,20
Introduction to Node.js,Server-side JavaScript development with Node.js covering runtime environment npm package management asynchronous programming and building backend applications,Linux Foundation,nodejs,javascript,https://www.edx.org/learn/node-js/the-linux-foundation-introduction-to-node-js,edx,course,0,2,25
Database Basics and Security,Database fundamentals with security considerations covering access controls encryption backup strategies and protecting sensitive data in database systems,IBM,sql,security,https://www.edx.org/learn/network-security/ibm-database-basics-and-security,edx,course,0,2,20
Relational Database Administration DBA,Professional database administration covering installation configuration performance tuning backup recovery and maintaining enterprise database systems,IBM,postgresql,sql,https://www.edx.org/learn/databases/ibm-relational-database-administration-dba,edx,course,0,3,35
Relational Database Design,Advanced database design principles covering normalization entity-relationship modeling schema optimization and designing efficient scalable database architectures,University of Maryland Baltimore County,database,sql,https://www.edx.org/learn/relational-databases/university-of-maryland-baltimore-county-relational-database-design,edx,course,1,3,30
Networking Basics and Security,Computer networking fundamentals covering protocols network architecture security considerations and basic network administration for IT professionals,IBM,linux,computer,https://www.edx.org/learn/computer-science/ibm-networking-basics-and-security,edx,course,0,2,25
DevOps Basics for Everyone,Introduction to DevOps practices covering collaboration culture automation continuous integration deployment pipelines and DevOps toolchain fundamentals,IBM,ci_cd,,https://www.edx.org/learn/devops/ibm-devops-basics-for-everyone,edx,course,0,1,20
Information Technology IT Fundamentals for Everyone,Comprehensive IT fundamentals covering hardware software networks databases cloud computing and essential technology concepts for modern professionals,IBM,computer,,https://www.edx.org/learn/computer-science/ibm-information-technology-it-fundamentals-for-everyone,edx,course,0,1,25
Linux Commands Shell Scripting,Linux command line proficiency covering bash scripting file systems process management system administration and automation with shell scripts,IBM,bash,computer,https://www.edx.org/learn/linux/ibm-linux-commands-shell-scripting,edx,course,0,2,30
Introduction to Containers Kubernetes and OpenShift,Container orchestration fundamentals covering Docker Kubernetes deployment scaling service management and enterprise container platform administration,IBM,docker,linux,https://www.edx.org/learn/kubernetes/ibm-introduction-to-containers-kubernetes-and-openshift,edx,course,0,3,35
Developing Cloud Native Applications,"Building applications for cloud environments covering microservices architecture containerization scalability patterns and cloud-native development practices",IBM,"ci_cd,docker",docker,https://www.edx.org/learn/cloud-computing/ibm-developing-cloud-native-applications,edx,course,1,3,40
Linux Tools for Software Development,Linux development environment and tools covering text editors compilers debuggers version control and productive Linux-based software development workflows,Linux Foundation,linux,bash,https://www.edx.org/learn/linux/the-linux-foundation-linux-tools-for-software-development,edx,course,0,3,25
Virtualization Docker and Kubernetes for Data Engineering,Container technologies specifically for data engineering workflows covering Docker Kubernetes data pipelines and containerized analytics environments,Pragmatic AI Labs,docker,python,https://www.edx.org/learn/data-engineering/pragmatic-ai-labs-virtualization-docker-and-kubernetes-for-data-engineering,edx,course,1,3,30
Introduction to DevSecOps for Managers,DevSecOps practices for management covering security integration governance risk management and leading secure development transformation initiatives,Linux Foundation,ci_cd,security,https://www.edx.org/learn/devsecops/the-linux-foundation-introduction-to-devsecops-for-managers,edx,course,0,2,15
Unix Tools Data Software and Production Engineering,Unix tools for software engineering covering command-line utilities data processing automation and production system management in Unix environments,Delft University of Technology,bash,linux,https://www.edx.org/learn/unix/delft-university-of-technology-unix-tools-data-software-and-production-engineering,edx,course,0,3,30
Containers Fundamentals,Basic container concepts and usage covering containerization principles Docker basics image management and container lifecycle for modern application deployment,Linux Foundation,docker,linux,https://www.edx.org/learn/computer-science/the-linux-foundation-containers-fundamentals,edx,course,0,2,20
Cloud Application Developer Capstone,"Comprehensive full-stack cloud application development project combining Django React containers and cloud deployment in a real-world scenario",IBM,"django,react",django,https://www.edx.org/learn/cloud-computing/ibm-cloud-application-developer-capstone,edx,course,1,4,50
Learn How to Code,Introduction to programming concepts covering computational thinking problem-solving logic and fundamental programming principles for complete beginners,Codecademy,computer,,https://www.codecademy.com/learn/learn-how-to-code,codecademy,course,0,0,10
Software Design Principles,Fundamental software design concepts covering SOLID principles design patterns code organization and building maintainable scalable software architectures,Codecademy,computer,computer,https://www.codecademy.com/learn/software-design-principles,codecademy,course,0,2,15
Introduction to Open Source,Open source development and collaboration covering licenses community contribution version control workflows and participating in open source projects,Codecademy,git,computer,https://www.codecademy.com/learn/introduction-to-open-source,codecademy,course,0,1,8
Learn Build Tools,"Development build tools and automation covering webpack gulp npm scripts task runners and modern development workflow optimization",Codecademy,"ci_cd,webpack,npm",javascript,https://www.codecademy.com/learn/learn-build-tools,codecademy,course,0,2,12
The DevSecOps Life Cycle,"Security integration in development lifecycle covering threat modeling security testing secure coding practices and embedding security throughout development",Codecademy,"ci_cd,security",ci_cd,https://www.codecademy.com/learn/ext-courses/the-devsecops-life-cycle,codecademy,course,0,3,20
DevSecOps Methodologies,"DevSecOps practices and methodologies covering security automation vulnerability management compliance and implementing security-first development culture",Codecademy,"ci_cd,security",ci_cd,https://www.codecademy.com/learn/ext-courses/devsecops-methodologies,codecademy,course,0,3,18
Learn HTML Forms,HTML form creation and handling covering input types validation accessibility form processing and creating user-friendly interactive web forms,Codecademy,html,html,https://www.codecademy.com/learn/learn-html-forms,codecademy,course,0,2,8
Becoming a Secure Coder,Security practices in software development covering secure coding standards vulnerability prevention threat modeling and building security-conscious applications,Codecademy,security,computer,https://www.codecademy.com/learn/becoming-a-secure-coder,codecademy,course,0,3,25
Learn Visual Design,Visual design principles and techniques covering typography color theory layout composition and creating aesthetically pleasing user interfaces,Codecademy,ui_ux,,https://www.codecademy.com/learn/learn-visual-design,codecademy,course,0,1,15
Learn Design Thinking Ideation,Design thinking process and ideation methods covering user empathy problem definition brainstorming and innovative solution development,Codecademy,ui_ux,,https://www.codecademy.com/learn/learn-design-thinking-ideation,codecademy,course,0,2,12
Learn Git Introduction,Git version control basics covering repositories commits branches merging and fundamental version control workflows for individual developers,Codecademy,git,computer,https://www.codecademy.com/learn/learn-git-introduction,codecademy,course,0,1,10
Learn GitHub Introduction,GitHub platform and collaboration covering pull requests issues project management and collaborative development workflows using GitHub,Codecademy,github,git,https://www.codecademy.com/learn/learn-github-introduction,codecademy,course,0,1,8
Using Git for DevOps Using Git Effectively,"Advanced Git workflows for DevOps covering branching strategies release management automation and Git best practices in professional development teams",Codecademy,"git,ci_cd",git,https://www.codecademy.com/learn/ext-courses/using-git-for-devops-using-git-effectively,codecademy,course,0,3,15
Learn GitHub Best Practices,GitHub collaboration best practices covering code review workflows issue management project organization and maintaining high-quality collaborative repositories,Codecademy,github,github,https://www.codecademy.com/learn/learn-github-best-practices,codecademy,course,0,2,10
Learn Git Branching and Collaboration,Advanced Git branching strategies covering feature branches merge strategies conflict resolution and collaborative development workflows,Codecademy,git,git,https://www.codecademy.com/learn/learn-git-branching-and-collaboration,codecademy,course,0,2,12
Learn Testing for Web Development Fundamentals,"Web application testing principles covering unit testing integration testing test-driven development and quality assurance practices for web applications",Codecademy,"testing,javascript",javascript,https://www.codecademy.com/learn/learn-testing-for-web-development-fundamentals,codecademy,course,1,2,20
2021 OWASP Top 10 Injection Attacks,Understanding and preventing injection attacks covering SQL injection command injection and secure coding practices to mitigate injection vulnerabilities,Codecademy,security,computer,https://www.codecademy.com/learn/2021-owasp-top-10-injection-attacks,codecademy,course,0,3,8
Learn About CSRF Attacks,Cross-site request forgery prevention covering CSRF tokens same-origin policy and implementing protection against CSRF attacks in web applications,Codecademy,csrf,security,https://www.codecademy.com/learn/learn-about-csrf-attacks,codecademy,course,0,3,6
2021 OWASP Top 10 Broken Access Control,Access control vulnerabilities and prevention covering authorization authentication session management and implementing secure access control systems,Codecademy,auth,security,https://www.codecademy.com/learn/2021-owasp-top-10-broken-access-control,codecademy,course,0,3,8
2021 OWASP Top 10 Server Side Request Forgery,SSRF attack prevention covering input validation URL filtering and protecting applications from server-side request forgery vulnerabilities,Codecademy,security,computer,https://www.codecademy.com/learn/2021-owasp-top-10-server-side-request-forgery,codecademy,course,0,3,6
OWASP Top 10 Security Misconfiguration,Security configuration best practices covering secure defaults configuration management and preventing security misconfigurations in applications and infrastructure,Codecademy,security,computer,https://www.codecademy.com/learn/owasp-top-10-security-misconfiguration,codecademy,course,0,3,8
2021 OWASP Top 10 Security Logging and Monitoring Failures,Security logging and monitoring practices covering audit trails incident detection threat monitoring and building comprehensive security observability,Codecademy,security,computer,https://www.codecademy.com/learn/2021-owasp-top-10-security-logging-and-monitoring-failures,codecademy,course,0,3,10
2021 OWASP Top 10 Identification and Authentication Failures,Authentication security vulnerabilities covering password security multi-factor authentication session management and preventing authentication bypass attacks,Codecademy,auth,security,https://www.codecademy.com/learn/2021-owasp-top-10-identification-and-authentication-failures,codecademy,course,0,3,8
2021 OWASP Top 10 Insecure Design,Secure software design principles covering threat modeling security architecture design patterns and building security into application design from the ground up,Codecademy,security,computer,https://www.codecademy.com/learn/2021-owasp-top-10-insecure-design,codecademy,course,0,3,10
Security Principles for DevSecOps,"Security integration in DevOps practices covering shift-left security automated security testing and building security into continuous delivery pipelines",Codecademy,"ci_cd,security",ci_cd,https://www.codecademy.com/learn/ext-courses/security-principles-for-devsecops,codecademy,course,0,3,15
2021 OWASP Top 10 Software and Data Integrity Failures,Software and data integrity protection covering code signing secure update mechanisms and preventing tampering with software and data,Codecademy,security,computer,https://www.codecademy.com/learn/2021-owasp-top-10-software-and-data-integrity-failures,codecademy,course,0,3,8
2021 OWASP Top 10 Vulnerable and Outdated Components,Component security and dependency management covering vulnerability scanning supply chain security and maintaining secure software dependencies,Codecademy,security,computer,https://www.codecademy.com/learn/2021-owasp-top-10-vulnerable-and-outdated-components,codecademy,course,0,3,8
2021 OWASP Top 10 Cryptographic Failures,Cryptography implementation and security covering encryption algorithms key management secure communications and preventing cryptographic vulnerabilities,Codecademy,security,computer,https://www.codecademy.com/learn/2021-owasp-top-10-cryptographic-failures,codecademy,course,0,3,10
Core DevOps Skills Moving Toward DevOps,Fundamental DevOps skills and practices covering automation collaboration infrastructure as code and transitioning to DevOps culture and methodologies,Codecademy,ci_cd,computer,https://www.codecademy.com/learn/ext-courses/core-devops-skills-moving-toward-devops,codecademy,course,0,2,20
Learn GitHub Actions and Codespaces,"GitHub automation and development environments covering CI/CD pipelines workflow automation and cloud-based development environments",Codecademy,ci_cd,github,https://www.codecademy.com/learn/learn-github-actions-and-codespaces,codecademy,course,1,3,15
Working with Containers Introduction to Kubernetes,Container orchestration with Kubernetes covering pods services deployments scaling and managing containerized applications in production,Codecademy,docker,docker,https://www.codecademy.com/learn/ext-courses/working-with-containers-introduction-to-kubernetes,codecademy,course,0,3,25
DevSecOps and Containers,"Security practices for containerized applications covering container security image scanning runtime protection and securing container deployment pipelines",Codecademy,"docker,security",docker,https://www.codecademy.com/learn/ext-courses/devsecops-and-containers,codecademy,course,0,3,18
DevSecOps in Continuous Integration Delivery CI CD,"Security in CI/CD pipelines covering automated security testing vulnerability scanning and integrating security checks into deployment automation",Codecademy,"ci_cd,security",ci_cd,https://www.codecademy.com/learn/ext-courses/devsecops-in-continuous-integration-delivery-ci-cd,codecademy,course,0,3,20
Important DevSecOps Tools,"Essential DevSecOps toolchain covering security scanners monitoring tools automation platforms and building comprehensive security toolsets",Codecademy,"ci_cd,security",ci_cd,https://www.codecademy.com/learn/ext-courses/important-devsecops-tools,codecademy,course,0,3,15
Introduction to JavaScript,JavaScript programming fundamentals covering variables functions objects arrays DOM manipulation and building interactive web applications from scratch,Codecademy,javascript,html,https://www.codecademy.com/learn/introduction-to-javascript,codecademy,course,0,1,20
Learn Intermediate JavaScript,Intermediate JavaScript concepts and techniques covering advanced functions closures prototypes asynchronous programming and modern JavaScript features,Codecademy,javascript,,https://www.codecademy.com/learn/learn-intermediate-javascript,codecademy,course,0,2,25
Learn JavaScript Fundamentals,Core JavaScript programming concepts covering syntax data types control structures functions and fundamental programming patterns in JavaScript,Codecademy,javascript,html,https://www.codecademy.com/learn/learn-javascript-fundamentals,codecademy,course,0,1,18
Learn JavaScript Best Practices,JavaScript coding best practices covering code organization performance optimization error handling and writing maintainable professional JavaScript code,Codecademy,javascript,javascript,https://www.codecademy.com/learn/learn-javascript-best-practices,codecademy,course,0,2,15
JavaScript Errors Debugging,JavaScript debugging techniques covering browser developer tools error handling testing strategies and troubleshooting common JavaScript problems,Codecademy,javascript,javascript,https://www.codecademy.com/learn/javascript-errors-debugging,codecademy,course,0,2,12
Learn JavaScript Objects,JavaScript object-oriented programming covering object creation inheritance prototypes and building object-oriented applications in JavaScript,Codecademy,javascript,javascript,https://www.codecademy.com/learn/learn-javascript-objects,codecademy,course,0,2,15
Learn JavaScript Requests,"JavaScript HTTP requests and API interaction covering fetch async/await promises and building applications that communicate with web services",Codecademy,"javascript,api",javascript,https://www.codecademy.com/learn/learn-javascript-requests,codecademy,course,1,2,10
Learn JavaScript Classes and Modules,Advanced JavaScript organization techniques covering ES6 classes module systems import/export and building modular scalable JavaScript applications,Codecademy,javascript,javascript,https://www.codecademy.com/learn/learn-javascript-classes-and-modules,codecademy,course,0,3,18
Learn SQL,SQL database querying fundamentals covering SELECT statements filtering sorting joins aggregation and essential database operations for data analysis,Codecademy,sql,,https://www.codecademy.com/learn/learn-sql,codecademy,course,0,1,25
Learn SQL Multiple Tables,Advanced SQL with multiple table operations covering complex joins subqueries table relationships and working with normalized database schemas,Codecademy,sql,sql,https://www.codecademy.com/learn/learn-sql-multiple-tables,codecademy,course,0,2,20
Learn SQL Aggregate Functions,SQL aggregate functions and analysis covering GROUP BY HAVING statistical functions and performing data analysis with SQL queries,Codecademy,sql,sql,https://www.codecademy.com/learn/learn-sql-aggregate-functions,codecademy,course,0,2,15
Learn Advanced React,Advanced React patterns and techniques covering hooks context API performance optimization error boundaries and building complex React applications,Codecademy,react,,https://www.codecademy.com/learn/learn-advanced-react,codecademy,course,0,3,30
Learn React Testing,"React application testing strategies covering Jest React Testing Library component testing integration testing and test-driven development for React",Codecademy,"react,testing",react,https://www.codecademy.com/learn/learn-react-testing,codecademy,course,1,3,20
Learn React Lifecycle Methods,React component lifecycle management covering mounting updating unmounting phases useEffect hook and optimizing component performance,Codecademy,react,,https://www.codecademy.com/learn/learn-react-lifecycle-methods,codecademy,course,0,2,15
Learn Redux Redux Toolkit,State management with Redux Toolkit covering modern Redux patterns store configuration reducers actions and efficient state management,Codecademy,redux,react,https://www.codecademy.com/learn/learn-redux-redux-toolkit,codecademy,course,0,3,25
React 101,Introduction to React fundamentals covering components JSX props state and building your first React applications with modern development practices,Codecademy,react,javascript,https://www.codecademy.com/learn/react-101,codecademy,course,1,1,20
Learn React Introduction,Basic React concepts and components covering virtual DOM component architecture event handling and fundamental React development patterns,Codecademy,react,javascript,https://www.codecademy.com/learn/learn-react-introduction,codecademy,course,0,1,25
Learn React Additional Basics,Additional React fundamentals covering forms conditional rendering lists keys and essential React concepts for building interactive applications,Codecademy,react,,https://www.codecademy.com/learn/learn-react-additional-basics,codecademy,course,0,2,18
Learn React Router v5,React application routing covering navigation route parameters nested routes and building single-page applications with React Router,Codecademy,react,,https://www.codecademy.com/learn/learn-react-router-v5,codecademy,course,0,2,15
Learn React Hooks,React Hooks API and usage covering useState useEffect custom hooks and transitioning from class components to functional components,Codecademy,react,,https://www.codecademy.com/learn/learn-react-hooks,codecademy,course,0,2,20
Learn React State Management,React state management patterns covering local state global state context API and choosing appropriate state management solutions,Codecademy,react,,https://www.codecademy.com/learn/learn-react-state-management,codecademy,course,0,2,18
Learn Redux,Redux state management fundamentals covering store actions reducers middleware and implementing predictable state management in React applications,Codecademy,redux,react,https://www.codecademy.com/learn/learn-redux,codecademy,course,0,3,25
Learn Redux Fundamentals,Core Redux concepts and patterns covering immutability functional programming principles and building scalable state management solutions,Codecademy,redux,javascript,https://www.codecademy.com/learn/learn-redux-fundamentals,codecademy,course,0,2,20
Learn Node.js,Server-side JavaScript with Node.js covering runtime environment modules npm package management and building backend applications with JavaScript,Codecademy,nodejs,javascript,https://www.codecademy.com/learn/learn-node-js,codecademy,course,1,2,30
Learn Node.js Fundamentals,Core Node.js concepts and APIs covering file system HTTP modules asynchronous programming and building scalable server-side applications,Codecademy,nodejs,javascript,https://www.codecademy.com/learn/learn-nodejs-fundamentals,codecademy,course,0,2,25
Learn Python Developer Tools with VS Code,"Python development environment setup covering Visual Studio Code extensions debugging testing and productive Python development workflows",Codecademy,"python,vscode",python,https://www.codecademy.com/learn/learn-python-developer-tools-with-vs-code,codecademy,course,0,2,12
Learn Advanced Python 3 Logging,Python logging best practices covering log levels handlers formatters and implementing comprehensive logging strategies for Python applications,Codecademy,python,python,https://www.codecademy.com/learn/learn-advanced-python-3-logging,codecademy,course,0,3,15
Learn Intermediate Python 3 Exceptions and Unit Testing,"Python error handling and testing covering exception handling try-catch blocks unit testing frameworks and building robust Python applications",Codecademy,"python,testing",python,https://www.codecademy.com/learn/learn-intermediate-python-3-exceptions-and-unit-testing,codecademy,course,1,2,20
Learn Intermediate Python 3 Functions Namespaces and Scope,Advanced Python functions and scope covering function design closures decorators namespaces and writing modular Python code,Codecademy,python,python,https://www.codecademy.com/learn/learn-intermediate-python-3-functions-namespaces-and-scope,codecademy,course,0,2,18
Creating Django Views Models,Django web framework basics covering models views templates URL routing and building database-driven web applications with Python,Codecademy,django,python,https://www.codecademy.com/learn/ext-courses/creating-django-views-models,codecademy,course,1,3,25
Learn the Command Line,Command line interface fundamentals covering navigation file operations permissions shell scripting and productive terminal usage for developers,Codecademy,bash,computer,https://www.codecademy.com/learn/learn-the-command-line,codecademy,course,0,1,15
Foundations Course,Comprehensive web development fundamentals covering HTML CSS JavaScript Git and essential skills for modern web development careers,The Odin Project,computer,,https://www.theodinproject.com/paths/foundations/courses/foundations,odinproject,course,1,0,80
Intermediate HTML and CSS,Advanced HTML and CSS techniques covering responsive design CSS Grid Flexbox animations and building professional-quality web interfaces,The Odin Project,"html,css",html,https://www.theodinproject.com/paths/full-stack-javascript/courses/intermediate-html-and-css,odinproject,course,1,2,60
Advanced HTML and CSS,Expert-level HTML and CSS development covering advanced layouts performance optimization accessibility and cutting-edge web technologies,The Odin Project,css,html,https://www.theodinproject.com/paths/full-stack-javascript/courses/advanced-html-and-css,odinproject,course,1,3,80
JavaScript Course,Comprehensive JavaScript programming covering fundamentals advanced concepts DOM manipulation and building dynamic interactive web applications,The Odin Project,javascript,html,https://www.theodinproject.com/paths/full-stack-javascript/courses/javascript,odinproject,course,1,2,120
React Course,React frontend development covering components hooks state management routing and building modern single-page applications with industry best practices,The Odin Project,react,javascript,https://www.theodinproject.com/paths/full-stack-javascript/courses/react,odinproject,course,1,3,100
Databases Course,Database design and SQL covering relational database concepts normalization query optimization and building efficient data-driven applications,The Odin Project,sql,computer,https://www.theodinproject.com/paths/full-stack-javascript/courses/databases,odinproject,course,1,2,40
Node.js Course,Backend development with Node.js covering Express.js RESTful APIs database integration authentication and building full-stack web applications,The Odin Project,nodejs,javascript,https://www.theodinproject.com/paths/full-stack-javascript/courses/nodejs,odinproject,course,1,3,80
Full Stack Developer Course,Complete full-stack development covering frontend backend databases deployment and building production-ready web applications from concept to deployment,FreeCodeCamp,computer,,https://www.freecodecamp.org/learn/full-stack-developer/,freecodecamp,course,1,2,300
Python for Everybody,Complete Python programming course covering fundamentals data structures web scraping databases and practical Python applications for real-world problems,FreeCodeCamp,python,,https://www.freecodecamp.org/learn/python-for-everybody/,freecodecamp,course,1,1,300
Relational Database Course,Database design and PostgreSQL covering SQL advanced queries database administration and building robust data-driven applications with relational databases,FreeCodeCamp,postgresql,sql,https://www.freecodecamp.org/learn/relational-database/#build-a-world-cup-database-project,freecodecamp,course,1,2,300
Frontend Development Libraries,"React Redux and frontend frameworks covering modern JavaScript libraries component-based architecture and building interactive user interfaces",FreeCodeCamp,"react,redux",javascript,https://www.freecodecamp.org/learn/front-end-development-libraries/,freecodecamp,course,1,2,300
HTML & CSS,Comprehensive HTML and CSS fundamentals covering semantic markup styling responsive design and modern web development standards for creating professional websites,App Academy Open,"html,css",,appacademy,course,1,1,40
Frameworks & Intro to JavaScript,"Web frameworks and JavaScript introduction covering popular frontend frameworks JavaScript fundamentals and transitioning from static to dynamic web development",App Academy Open,javascript,html,appacademy,course,0,2,50
Advanced JavaScript & Intro to React,Advanced JavaScript concepts and React introduction covering ES6+ features asynchronous programming and component-based frontend development,App Academy Open,react,javascript,appacademy,course,0,3,60
React,Comprehensive React development covering hooks context API testing performance optimization and building complex single-page applications with modern practices,App Academy Open,react,javascript,appacademy,course,1,3,80
Intro to Python,Python programming fundamentals covering syntax data structures algorithms object-oriented programming and building practical applications with Python,App Academy Open,python,,appacademy,course,1,1,50
